"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","prop_surviving","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL12F1",12,1,"TBML","november",13,3.6,189.603,6.972,87.644,0.0367715700700938,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.772647107111632
"FL12F2",12,2,"TBML","november",13,4.6,195.714,7.464,83.414,0.0381372819522364,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.300298620919891
"FL12F3",12,3,"TBML","november",13,4.5,190.545,7.709,88.796,0.040457634679472,"F",1,204,32,236,1,0.864406779661017,4,236,0.993684210526316,0.864406779661017,1.0884979460618,0.901286694840447
"FL12F4",12,4,"TBML","november",13,5.6,201.046,8.654,92.544,0.0430448753021697,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.31981202019426
"FL12F5",12,5,"TBML","november",13,3.1,170.164,6.707,80.435,0.0394149173738276,"F",1,173,66,239,1,0.723849372384937,4,239,1.00631578947368,0.723849372384937,0.911502053938203,-0.03235531297259
"FL12F6",12,6,"TBML","november",13,2,164.242,5.179,71.73,0.0315327382764457,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.0044105310102
"FL12F7",12,7,"TBML","november",13,2,154.88,4.843,67.778,0.0312693698347107,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.44571578335766
"FL12F8",12,8,"TBML","november",13,2.2,167.522,5.655,73.457,0.0337567603061091,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.811562815725775
"FL2F1",2,1,"TBML","october",12,4.8,199.032,7.376,88.812,0.0370593673379155,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.693252234821213
"FL2F2",2,2,"TBML","october",12,2.4,169.335,5.32,76.236,0.0314170136120707,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.340185620281655
"FL2F3",2,3,"TBML","october",12,5.3,209.808,8.059,103.071,0.0384113093876306,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.86499129142998
"FL2F4",2,4,"TBML","september",19,3.1,171.947,6.569,77.543,0.0382036325146702,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.232782369914332
"FL2F5",2,5,"TBML","september",19,1.7,147.601,4.996,63.396,0.0338480091598295,"F",1,131,28,159,1,0.823899371069182,2,159,1.10672853828306,0.823899371069182,1.05602579604998,-1.3953177815031
"FL2F6",2,6,"TBML","september",19,1.9,152.714,4.68,70.134,0.0306455203845096,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.841619923067732
"FL2F7",2,7,"TBML","september",19,3.5,184.933,6.452,85.602,0.0348883109017861,"F",1,122,48,170,1,0.717647058823529,2,170,1.18329466357309,0.717647058823529,0.919837826303436,0.429469194515854
"FL2F8",2,8,"TBML","september",19,2.7,175.575,6.269,78.212,0.0357055389434715,"F",2,163,41,204,1,0.799019607843137,4,102,0.709976798143852,0.799019607843137,1.02413637764658,-0.177807026000225
"FL3F1",3,1,"TBML","october",19,5.6,203.611,8.484,95.139,0.0416676898595852,"F",1,85,3,88,1,0.965909090909091,0.8,88,0.394324122479462,0.965909090909091,1.12938987258177,1.5873468352132
"FL3F2",3,2,"TBML","october",12,3.4,181.831,8.033,86.401,0.0441783854238276,"F",3,731,31,762,1,0.959317585301837,2.4,254,1.13816280806572,0.959317585301837,1.12168275009171,0.866018790171635
"FL3F3",3,3,"TBML","october",5,1.2,142.32,3.914,63.24,0.0275014052838673,"F",1,154,131,285,1,0.540350877192982,0.8,285,1.27707244212099,0.540350877192982,0.631805636872162,-1.04593804791575
"FL3F4",3,4,"TBML","october",5,4,181.386,8.575,85.176,0.0472748723716274,"F",3,785,131,916,1,0.856986899563319,2.4,305.333333333333,1.36818521284541,0.856986899563319,1.0020325250186,0.764894178684349
"FL3F5",3,5,"TBML","october",5,3.3,162.618,6.991,76.801,0.0429903208746879,"F",2,350,17,367,1,0.953678474114441,1.6,183.5,0.822255414488424,0.953678474114441,1.11508921543576,0.0735320389243269
"FL3F6",3,6,"TBML","october",19,1.2,139.352,4.015,63.443,0.0288119295022676,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.029180255155
"FL3F7",3,7,"TBML","october",19,1.4,148.166,4.285,64.288,0.0289202651080545,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.959424910904588
"FL3F8",3,8,"TBML","october",5,2,156.81,5.194,72.794,0.0331228875709457,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.25724862901817
"FL4F1",4,1,"FD","october",11,2.1,156.414,5.208,66.831,0.0332962522536346,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.928186808672296
"FL4F2",4,2,"FD","october",11,4.7,202.084,7.211,91.533,0.0356831812513608,"F",2,168,0,168,1,1,2.66666666666667,84,0.551724137931034,1,1.24703897199598,1.22385012986776
"FL4F3",4,3,"FD","october",11,5.1,197.892,8.56,89.645,0.04325591736907,"F",1,31,4,35,1,0.885714285714286,1.33333333333333,35,0.229885057471264,0.885714285714286,1.10452023233929,1.05936766933972
"FL4F4",4,4,"TBML","october",14,3,182.398,6.214,79.505,0.0340683560126756,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.175971403580018
"FL4F5",4,5,"TBML","october",14,4.1,197.452,7.179,89.68,0.0363582035127525,"F",2,50,76,126,1,0.396825396825397,2.66666666666667,63,0.413793103448276,0.396825396825397,0.494856734919038,1.0624168674957
"FL4F6",4,6,"TBML","october",14,1.7,144.463,4.346,66.446,0.0300838276929041,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.961727988388025
"FL4F7",4,7,"TBML","october",14,2.1,163.219,5.99,70.72,0.0366991587989143,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.589377333569784
"FL4F8",4,8,"TBML","october",14,1.7,152.466,6.161,65.521,0.0404090092217281,"F",1,395,32,427,1,0.925058548009368,1.33333333333333,427,2.80459770114943,0.925058548009368,1.15358406074569,-1.04231393965309
"FL5F1",5,1,"TBML","october",8,1.1,155.761,4.854,57.688,0.0311631281257824,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.59881135358552
"FL5F2",5,2,"TBML","october",8,1.2,138.234,4.51,59.274,0.0326258373482645,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.46454975988177
"FL5F3",5,3,"FD","october",12,4.2,199.048,6.862,91.479,0.0344740967002934,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.26173941113287
"FL5F4",5,4,"FD","october",12,3.5,178.421,6.389,80.983,0.03580856513527,"F",2,527,23,550,1,0.958181818181818,4,275,0.87672688629118,0.958181818181818,1.01725685869021,0.373208712826095
"FL5F5",5,5,"FD","october",12,3.1,188.505,7.037,81.81,0.0373305747858147,"F",1,384,46,430,1,0.893023255813953,2,430,1.37088204038257,0.893023255813953,0.948081058008792,0.443217753174771
"FL5F6",5,6,"FD","october",12,3.2,179.746,6.803,80.759,0.0378478519688894,"F",1,230,6,236,1,0.974576271186441,2,236,0.752391073326249,0.974576271186441,1.034662083301,0.354246167435402
"FL5F7",5,7,"FD","october",12,2.9,180.301,5.71,82.105,0.0316692641749075,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.46819074822055
"FL5F8",5,8,"FD","october",12,3.3,175.911,6.62,78.497,0.0376326665188647,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.162758320677597
"FL6F1",6,1,"TBML","october",20,2.1,164.714,5.805,70.595,0.0352429058853528,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.04901594458293
"FL6F2",6,2,"TBML","october",20,5.6,211.777,8.452,95.709,0.0399099052305019,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.17058398230846
"FL6F3",6,3,"TBML","october",20,5.3,204.937,8.159,85.194,0.0398122349795303,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.241257979630156
"FL6F4",6,4,"TBML","october",11,1.7,152.162,5.249,69.552,0.0344961291255373,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.14119730652239
"FL6F5",6,5,"TBML","october",13,3,170.718,7.772,79.468,0.0455253693225085,"F",1,263,0,263,1,1,4,263,1.20091324200913,1,1,-0.264811510748918
"FL6F6",6,6,"TBML","october",13,6.1,215.716,8.912,97.194,0.0413135789649354,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.30182973732294
"FL6F7",6,7,"TBML","october",13,5.7,204.212,9.391,90.367,0.0459865238085911,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.698452788175555
"FL6F8",6,8,"TBML","october",13,2.1,160.683,5.807,71.635,0.0361394795964726,"F",1,175,0,175,1,1,4,175,0.799086757990868,1,1,-0.957099725582883
"FL8F1",8,1,"TBML","october",28,3.2,187.551,5.919,87.162,0.0315594158388918,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.133048750245741
"FL8F2",8,2,"TBML","october",28,5.3,213.903,7.713,98.804,0.0360584003029411,"F",1,7,66,73,1,0.0958904109589041,4,73,0.610878661087866,0.0958904109589041,0.196615905245347,1.08208975529187
"FL8F3",8,3,"TBML","october",30,4.5,204.794,7.912,88.361,0.0386339443538385,"F",0,0,0,0,0,0,0,NA,0,NA,0,0.230789702406049
"FL8F4",8,4,"TBML","october",28,7.1,224.516,8.608,103.74,0.038340251919685,"F",0,0,0,0,0,0,0,NA,0,NA,0,1.48446618553648
"FL8F5",8,5,"TBML","october",28,2.7,174.166,6.447,74.061,0.03701640963219,"F",1,146,20,166,1,0.879518072289157,4,166,1.38912133891213,0.879518072289157,1.80338409475465,-0.934928075652675
"FL8F6",8,6,"TBML","october",28,3.7,190.161,6.365,84.046,0.0334716371916429,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.120963599155027
"FL8F7",8,7,"DC","october",21,2.8,179.241,5.923,82.302,0.0330448948622246,"F",0,0,0,0,0,0,0,NA,0,NA,0,-0.263132256842748
"FL8F8",8,8,"TBML","october",28,1.7,151.385,4.692,65.763,0.0309938236945536,"F",0,0,0,0,0,0,0,NA,0,NA,0,-1.61137046182969
